Last Updated Date,Last Updated Date일,Employer,Doing Business As,Account Status,Opted into E-Verify+,Date Enrolled,Date Terminated,Workforce Size,Hiring Site Locations,Number of Hiring Sites,레코드 수
2026. 3. 25.,2026년 3월 25일,7201 Greenleaf Inc.,Tranquilo Coffee,Open,Yes,03/25/2026,,10 to 19,CA,2,1
2026. 3. 25.,2026년 3월 25일,"BioAge Labs, Inc",,Open,No,02/06/2026,,100 to 499,"CA,CT",2,1
2026. 3. 25.,2026년 3월 25일,BrightBridge ABA LLC,,Open,No,01/23/2026,,100 to 499,"FL,IL,NC,NM,NY,SC,TN,TX",105,1
2026. 3. 25.,2026년 3월 25일,CinemaStory,CinemaStory,Open,Yes,03/25/2026,,10 to 19,TX,1,1
2026. 3. 25.,2026년 3월 25일,El Valle Pest Control LLC,El Valle Pest Control LLC,Open,Yes,03/25/2026,,5 to 9,TX,1,1
2026. 3. 25.,2026년 3월 25일,Elmer Auto Reconditioning LLC,Elmer Auto Reconditioning LLC,Open,Yes,03/25/2026,,10 to 19,FL,1,1
2026. 3. 25.,2026년 3월 25일,Front Line Mobile Health PLLC,,Open,No,01/08/2026,,100 to 499,"CO,FL,GA,MD,MO,TX",35,1
2026. 3. 25.,2026년 3월 25일,"Guidewell Education, LLC",,Open,No,03/02/2026,,500 to 999,"CA,CO,CT,GA,MA,MD,VA",11,1
2026. 3. 25.,2026년 3월 25일,Hamden Cars LLC,Hamden Cars LLC,Open,Yes,03/25/2026,,500 to 999,"CT,NJ",2,1
2026. 3. 25.,2026년 3월 25일,Hatz AI Inc,Hatz AI Inc,Open,Yes,03/25/2026,,20 to 99,NY,1,1
2026. 3. 25.,2026년 3월 25일,Heed Medical P.C. ,,Open,No,03/04/2026,,100 to 499,"CA,KY,NY",22,1
2026. 3. 25.,2026년 3월 25일,HEPHAE ENERGY TECHNOLOGY CORP,,Open,No,03/25/2026,,10 to 19,TX,1,1
2026. 3. 25.,2026년 3월 25일,"Innovative Care Management, Inc.",,Open,No,02/13/2026,,100 to 499,"OR,WA",4,1
2026. 3. 25.,2026년 3월 25일,JJC Franchise One Inc,,Open,No,03/25/2026,,100 to 499,NC,1,1
2026. 3. 25.,2026년 3월 25일,Las Meras Tortas 2,Las Meras Taylors,Open,Yes,03/25/2026,,5 to 9,SC,1,1
